,Text,Lemma,Polarity,Analysis,Vader Sentiment,Vader Analysis,SWN analysis
0,"I had the Samsung A600 for awhile which is absolute doo doo. You can read my review on it and detect my rage at the stupid thing. It finally died on me so I used this Nokia phone I bought in a garage sale for $1. I wonder y she sold it so cheap?... Bad: ===> I hate the menu. It takes forever to get to what you want because you have to scroll endlessly. Usually phones have numbered categories so u can simply press the # and get where you want to go. ===> It's a pain to put it on silent or vibrate. If you're in class and it rings, you have to turn it off immediately. There's no fast way to silence the damn thing. Always remember to put it on silent! I learned that the hard way. ===> It's so true about the case. It's a mission to get off and will break ur nails in the process. Also, you'll damage the case each time u try. For some reason the phone started giving me problems once I did succeed in opening it. ===> Buttons could be a bit bigger. Vibration could be stronger. Good: ===> Reception is not too shabby. I was using it in the elevator which is a remarkable feat considering my old phone would lose service by simply putting it in my pocket. ===> Compared to my old Samsung, this phone works quite well. The ring tones are loud enough to hear and the phone actually charges quickly and has great battery life. It doesn't heat up like a potatoe in the oven either during long phone convos. ===> Nice bright, large screen. ===> Cute ways to customize it. Scroll bar can be set to purple, pink, aqua, orange, etc. Overall: Okay phone. It serves its purpose but definitely pales in comparison to these new phones coming out from Sprint. Why get so so when you can get great?",  Samsung awhile absolute doo doo read review detect rage stupid thing finally die use Nokia phone buy garage sale wonder sell cheap Bad hate menu take forever get want scroll endlessly Usually phone number category u simply press get want go pain put silent vibrate class ring turn immediately fast way silence damn thing Always remember put silent learn hard way true case mission get break ur nail process Also damage case time u try reason phone start give problem succeed open Buttons could bit big Vibration could strong Good Reception shabby use elevator remarkable feat consider old phone would lose service simply put pocket Compared old Samsung phone work quite well ring tone loud enough hear phone actually charge quickly great battery life heat like potatoe oven either long phone convos Nice bright large screen Cute way customize Scroll bar set purple pink aqua orange etc Overall Okay phone serve purpose definitely pale comparison new phone come Sprint get get great,0.12173100048100048,Positive,0.8399,Positive,Negative
1,"Due to a software issue between Nokia and Sprint this phone's text messaging capabilities don't work with Sprint's system and won't until a software patch comes out ""some time in the next few months"". You will have to spend at least 1 hour with Sprint's award winning customer service team to find someone who will admit this to you. The problem is that Nokia designed their phones so that incoming messages are retrieved quickly and then viewed ""offline"" the way most providers work. Sprint, however, likes to have people hook up to their server first and then stay connected, burning minutes while they check their inbox, compose a reply and wait for the Sprint server to respond so they can send it out. Innovation in money-making at its finest.",  Due software issue Nokia Sprint phone text messaging capability work Sprint system software patch come time next month spend least hour Sprint award win customer service team find someone admit problem Nokia design phone incoming message retrieve quickly view offline way provider work Sprint however like people hook server first stay connect burn minute check inbox compose reply wait Sprint server respond send Innovation money making fine,0.19642857142857142,Positive,0.8957,Positive,Positive
2,"This is a great, reliable phone. I also purchased this phone after my samsung A460 died. The menu is easily comprehendable and speed dialing is available for around 300 numbers. Voice dialing is also a nice feature, but it takes longer than speed dialing. The only thing that bothers me is the games...Nokia seems to have taken snake (1 and 2) off their phones. There is a skydiving game, bowling, and tennis (like pong). The ringers are very nice, and a feature is available to choose a different ringer for each person calling. However, ringtones are not available online to download to this phone. You're pretty much stuck with what you have. There are vibrating ringtones and regular (midi) polyphonic tones. All they need are covers in a reasonable price range...",  great reliable phone also purchase phone samsung die menu easily comprehendable speed dialing available around number Voice dialing also nice feature take long speed dial thing bother game Nokia seem take snake phone skydiving game bowling tennis like pong ringer nice feature available choose different ringer person call However ringtones available online download phone pretty much stick vibrate ringtones regular midi polyphonic tone need cover reasonable price range,0.22888888888888895,Positive,0.8957,Positive,Positive
3,"I love the phone and all, because I really did need one, but I didn't expect the price of the bill when I received one. Also, I've had my phone for a little over two months now and still have yet to receive my free accessories that were supposed to come with the phone. Every time I call the company, they keep telling me to wait a couple of weeks, and that I should be receiving it shortly. Other than that, I do love the phone and all that I am able to do with it; and I'm not just talking about making the phone calls! :)",  love phone really need one expect price bill receive one Also phone little two month still yet receive free accessory suppose come phone Every time call company keep tell wait couple week receive shortly love phone able talk make phone call,0.31875000000000003,Positive,0.9136,Positive,Positive
4,"The phone has been great for every purpose it offers, except the day i bought it-i couldnt get the case off. You can take the case off to put your own pictures in the jaket which is super cool, but when i took it back to the store-an employee said they were meant to be hard to get off. Well, he could barely even get it off- he came close to snapping the casing in half. I was never able to get it off after that which isnt THAT big of a deal, but it got dirty under the clear casing and it looks really dirty now. MAKE SURE YOU CAN GET YOUR CASE ON AND OFF! Oh and you have to charge it ALL off the time.",  phone great every purpose offer except day buy couldnt get case take case put picture jaket super cool take back store employee say mean hard get Well could barely even get come close snap casing half never able get isnt big deal get dirty clear casing look really dirty MAKE SURE GET CASE Oh charge time,-0.006249999999999993,Negative,0.8957,Positive,Positive
5,"Hello, I have this phone and used it until I decided to buy a flip phone. I have had NO problems with the battery or new cases--it has a new fish case on it now and it stays as well as the original one. I have added ring tones, and music so it was all good for me--as a matter of fact I am willing to sell this phone, the home charger and the car charger for a great deal--email me--(...)",  Hello phone use decide buy flip phone problem battery new case new fish case stay well original one add ring tone music good matter fact willing sell phone home charger car charger great deal email,0.3996212121212121,Positive,0.8316,Positive,Positive
6,"Cool. Cheap. Color: 3 words that describe the Nokia 3588 perfectly. I mean, what more DO you want? This beauty's got classic, sleek looks that jerks you a little about a Nokia 3310's looks. The 3588 also has some amazing ringtones. And I own a cellphone shop, so I have the experience. I RATE THIS THE 5TH BEST PHONE THAT I'VE EVER COME ACROSS IN MY STORE. Do you need more prompting to buy this, pal? Well, then here it comes!: The Nokia 3599 includes an alarm clock, calendar, voice recorder, calculator and stopwatch . And trust me, its good value for money if you're on a tight budget. And oh, if you're thinking of getting this for a teenager, you've come to the right phone; they'll go crazy after its looks AND its color LCD (which happens to be a little oversize). If this phone's goin' for an adult, you've hit da soda pop again, you lucky person! NOW are ya convinced that this mobile's REAL! (it is).",  Cool Cheap Color word describe Nokia perfectly mean want beauty get classic sleek look jerk little Nokia look also amazing ringtones cellphone shop experience RATE TH BEST PHONE EVER COME ACROSS STORE need prompting buy pal Well come Nokia include alarm clock calendar voice recorder calculator stopwatch trust good value money tight budget oh think get teenager come right phone go crazy look color LCD happen little oversize phone goin adult hit da soda pop lucky person ya convinced mobile REAL,0.1779761904761905,Positive,0.9823,Positive,Positive
7,"The 3599i is overall a nice phone, except that Nokia made its universal headset jack incompatible with most 2.5mm universal headsets (even their own). A phone call to tech support was required to find out that you need to buy a headset that plugs into the Pop-port accessory connector on the bottom of the phone. They ended up suggesting the HDB-5 headset.",  overall nice phone except Nokia make universal headset jack incompatible mm universal headset even phone call tech support require find need buy headset plug Pop port accessory connector bottom phone end suggest HDB headset,0.15,Positive,0.6705,Positive,Positive
8,"I've never owned a Nokia phone before, so this is a first for me. I really like the phone alot, the reception is great...even though the signal strength show's being low. The quality of the phone is great too, it feels sturdy and weighted. I highly recommend this phone.",  never own Nokia phone first really like phone alot reception great even though signal strength show low quality phone great feel sturdy weight highly recommend phone,0.27285714285714285,Positive,0.9421,Positive,Positive
9,ok well im in school and i need the text messaging and ive had this phone for about a month and text messaging was supposed to start working 2weeks ago.A conflict of software type stuff and btween nokia and sprint.(Its down to 4 stars) And the fact it cant download ringtones.(3stars)Or games(2 stars)But you cant beat a nearfree or free color phone(back to 3 stars) as soon as it gets text messaging it should b 4 stars.,  ok well im school need text messaging ive phone month text messaging suppose start work week ago conflict software type stuff btween nokia sprint star fact cant download ringtones star game star cant beat nearfree free color phone back star soon get text message b star,0.125,Positive,-0.1783,Neutral,Positive
